administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Barack Obama (Second Term),Texas v. United States,2014-12-03,Immigration,DAPA Immigration Directive (Deferred Action),U.S. Department of Homeland Security,adverse_tro_or_injunction,,"Success, Injunction Only","Case Closed, Voluntarily Dismissed",Immigration / presidential directive,No obvious EO link in AG metadata,136 S.Ct. 2271,"(2015.02.16) Texas v. United States - Order Granting Preliminary Injunction [S.D. Tex.] (2015.11.09) Texas v. United States - Opinion [5th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.12.03-Texas-v.-United-States-Complaint-S.D.-Tex..pdf; https://scholar.google.com/scholar_case?case=9830266283753068292&amp;q=195+L.+Ed.+2d+638&amp;hl=en&amp;as_sdt=6,50; https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.02.16-Texas-v.-United-States-Order-Granting-Preliminary-Injunction-S.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.11.09-Texas-v.-United-States-Opinion-5th-Cir..pdf","The district court granted a preliminary injunction blocking the policy, which was upheld by both the 5th Circuit and SCOTUS. The case was voluntarily dismissed following the Trump Administration rescinding the policy.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Kansas v. EPA,2014-12-05,Environment,MOVES2014 Motor Vehicles Emissions Model,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,14-01268,(2016.04.15) Kansas v. EPA - Judgment Dismissing Petition [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.12.05-Kansas-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2016.04.15-Kansas-v.-EPA-Judgment-Dismissing-Petition-D.C.-Cir..pdf,The three-judge panel dismissed the states' petition due to lack of standing.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Colorado v. U.S. Fish and Wildlife Service,2015-02-15,Environment,Gunnison Sage-Grouse Listing as Threatened Species,U.S. Fish and Wildlife Service (Interior),state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,362 F. Supp. 3d 951,(2018.09.27) Colorado v. U.S. Fish and Wildlife Service - Opinion and Order [D. Colo.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.02.15-Colorado-v.-U.S.-Fish-and-Wildlife-Service-Complaint-D.-Colo..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2018.09.27-Colorado-v.-U.S.-Fish-and-Wildlife-Service-Opinion-and-Order-D.-Colo..pdf,The district court upheld the 2014 Final Rules on 9/27/18.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Tennessee v. FCC,2015-03-20,Communications,Broadband Services for Municipalities,Federal Communications Commission,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Communications,No obvious EO link in AG metadata,832 F.3d 597,"(2016.08.10) Tennessee v. FCC - Opinion, 832 F.3d 597 [6th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.03.20-Tennessee-v.-FCC-Petition-for-Review-6th-Cir..pdf; https://scholar.google.com/scholar_case?case=16572779089396750870&amp;q=832+F.3d+597&amp;hl=en&amp;as_sdt=6,50","The 6th Circuit held for the states in August 2016, reversing the FCC's decision.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Texas v. United States,2015-03-25,Civil Rights,Spousal Benefits for Same-Sex Couples,U.S. Department of Labor,adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,95 F.Supp.3d 965,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.03.25-Texas-v.-United-States-Complaint-N.D.-Tex..pdf; https://scholar.google.com/scholar_case?case=7166684961875527203&amp;q=7:15-cv-00056&amp;hl=en&amp;as_sdt=6,50","The district court issued a preliminary injunction blocking the rule. However, the Supreme Court's decision in Obergefell v. Hodges essentially mooted this injunction, and the states voluntarily dismissed the case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Wyoming v. Department of the Interior,2015-03-26,Energy,Fracking Rules,U.S. Department of the Interior; Bureau of Land Management (Interior),adverse_tro_or_injunction,Local Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Dismissed as Moot",Funding / grant or program cuts,No obvious EO link in AG metadata,871 F.3d 1133,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.03.26-Wyoming-v.-Department-of-the-Interior-Petition-for-Review-D.-Wyo..pdf; https://scholar.google.com/scholar_case?case=3521100239640451280&amp;q=2:15-cv-00043&amp;hl=en&amp;as_sdt=6,50","The district court granted a preliminary injunction blocking the rule. On appeal, the 10th Circuit vacated the preliminary injunction and dismissed the case as moot, given the Trump Administration's pending reversal of the Obama-era rule in 2018 through administrative action.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Massachusetts v. FERC,2015-05-01,Energy,Energy Rate-Making Decisions,Federal Energy Regulatory Commission (DoE),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,854 F.3d 9,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.05.01-Massachusetts-v.-FERC-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=9327819909108348859&amp;q=15-1121&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit ruled for the states, vacating FERC's orders.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),New England States Committee v. FERC,2015-05-15,Energy,Energy Rate-Making Decisions,Federal Energy Regulatory Commission (DoE),state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,854 F.3d 662,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.05.15-New-England-States-Committee-v.-FERC-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=6558699955984562408&amp;q=15-1141&amp;hl=en&amp;as_sdt=6,50",The D.C. Circuit rejected the states' petition.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Arizona v. Jewell,2015-06-08,Environment,Mexican Wolf Recovery Plan,U.S. Fish and Wildlife Service (Interior),adverse_tro_or_injunction,,"Success, Voluntary Agency Reversal","Case Closed, Settled",Funding / grant or program cuts,No obvious EO link in AG metadata,4:15-cv-00245,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.06.08-Arizona-v.-Jewell-Complaint-D.-Ariz..pdf,The parties reached a settlement agreement mandating the agency to update the Mexican wolf recovery plan by 11/30/17.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),North Dakota v. EPA,2015-06-29,Environment,Waters of the United States Rule,U.S. Environmental Protection Agency; U.S. Army Corps of Engineers (DoD),adverse_tro_or_injunction,,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,3:15-cv-00059,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.06.29-North-Dakota-v.-EPA-Complaint.pdf,"The court granted a preliminary injunction to the states in August 2015. Following appeals in this and similar litigation, the district court challenge continued. The federal defendants issued final rules effectively reversing the Obama-era rules challenged in this case, which themselves were challenged in court, and the case is currently stayed pending this litigation.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Texas v. United States,2015-06-29,Environment,Waters of the United States Rule,U.S. Environmental Protection Agency; U.S. Army Corps of Engineers (DoD),adverse_tro_or_injunction,,"Success, Injunction Only","Case Closed, Dismissed as Moot",Funding / grant or program cuts,No obvious EO link in AG metadata,3:15-cv-00162,(2019.05.28) Texas v. United States - Opinion and Order Granting Summary Judgment [S.D. Tex.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.06.29-Texas-v.-United-States-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.05.28-Texas-v.-United-States-Opinion-and-Order-Granting-Summary-Judgment-S.D.-Tex..pdf,"The court issued a preliminary injunction blocking the rule in September 2018 and granted summary judgment to the plaintiff states on 5/28/19. The federal defendants have since finalized rules effectively reversing the Obama-era rules. On 3/2/21, the court dismissed the case, and the case was closed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Georgia v. Wheeler,2015-06-30,Environment,Waters of the United States Rule,U.S. Environmental Protection Agency; U.S. Army Corps of Engineers (DoD),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,2:15-cv-00079,(2019.05.02) Georgia v. Wheeler - Order Granting WI Withdrawal from Case [S.D. Ga.] (2019.08.21) Georgia v. Wheeler - Order Granting Summary Judgment [S.D. Ga.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.06.30-Georgia-v.-McCarthy-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2019.05.02-Georgia-v.-Wheeler-Order-Granting-WI-Withdrawal-from-Case-S.D.-Ga..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/08/2019.08.21-Georgia-v.-Wheeler-Order-Granting-Summary-Judgment-S.D.-Ga..pdf,"The court issued a preliminary injunction blocking the rule in June 2018. On 8/21/19, Judge Wood granted the states' motion for summary judgment, remanding the WOTUS rule to the agencies for further proceedings.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Florida v. EPA,2015-08-11,Environment,State Implementation Plans,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),Mixed Results (Partial Success on Merits),"Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,15-1267,(2024.03.01) Florida v. EPA - Opinion [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.08.11-Florida-v.-EPA-Petition-for-Review.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.03.01-Florida-v.-EPA-Opinion-D.C.-Cir.pdf,"On 3/1/24, the court mostly upheld the EPA regulations but ruled that the EPA could not call for state SIP revisions for including automatica exemptions and discretion provisions without first finding that these restrictions qualified as emission limitations under the CAA.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),In Re West Virginia,2015-08-13,Environment,Clean Power Plan,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,15-1277,(2015.09.09) In Re West Virginia - Order Denying Emergency Petition [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.08.13-In-Re-West-Virginia-Emergency-Petition.pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2015.09.09-In-Re-West-Virginia-Order-Denying-Emergency-Petition-D.C.-Cir..pdf,The three-judge panel denied the emergency petition on 9/9/15. A similar coalition brought a separate suit against the Clean Power Plan once the rule was officially published in the Federal Register (in 15-1363).,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),North Dakota v. EPA,2015-10-23,Environment,New Source Performance Standards,U.S. Environmental Protection Agency,adverse_tro_or_injunction,,Case Pending,"Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,15-01381,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.10.23-North-Dakota-v.-EPA-Petition-for-Review.pdf,"On 8/10/17, the court held the case in abeyance as the EPA reevaluates the Obama-era rule, and the case remained in abeyance throughout the Trump Administration and currently during the Biden Administration.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Arizona v. EPA,2015-10-27,Environment,Ozone Rule,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,15-1392,links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2015.10.27-Arizona-v.-EPA-Petition-for-Review.pdf,"A three-judge panel largely upheld the Obama-era rule on 8/23/19, and no appeal was filed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Oklahoma v. FCC,2016-02-24,Other,Prisoner Phone Calls,Federal Communications Commission,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,866 F.3d 397,"links: https://attorneysgeneral.org/wp-content/uploads/2019/02/2016.02.24-Global-TelLink-v.-FCC-Motion-to-Intervene.pdf; https://scholar.google.com/scholar_case?case=12550787966632139864&amp;q=global+tellink&amp;hl=en&amp;as_sdt=3,50&amp;as_ylo=2015","The three-judge panel held for the plaintiffs in June 2017, holding that the agency had acted contrary to law.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
